"Telework, Household Pulse Survey","","","","","","",""
"","","","","Total Telework","","Telework Percent",""
"Week","Area","Total Individual Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"27","United States","249170916","234929903","91765269","1241722","39.1","0.5"
"27","Alabama","3717378","3491610","1045707","125912","29.9","3.5"
"27","Alaska","524925","505592","188603","14470","37.3","3"
"27","Arizona","5597268","5328947","2050725","161546","38.5","3"
"27","Arkansas","2246527","2029610","510702","61222","25.2","3"
"27","California","29939021","28624465","12148505","595770","42.4","2"
"27","Colorado","4454718","4241611","1879051","122403","44.3","2.8"
"27","Connecticut","2732423","2571850","1195153","87014","46.5","3.3"
"27","Delaware","754637","700101","257239","21594","36.7","3.1"
"27","District of Columbia","542635","510681","325254","20805","63.7","4.4"
"27","Florida","17085385","15823477","5205888","413476","32.9","2.7"
"27","Georgia","7955983","7574128","3165126","233769","41.8","3.1"
"27","Hawaii","1073229","1030467","318563","35786","30.9","3.5"
"27","Idaho","1343198","1303934","452274","46827","34.7","3.6"
"27","Illinois","9546424","8870249","3661789","223720","41.3","2.6"
"27","Indiana","5015550","4795349","1629327","131385","34","2.7"
"27","Iowa","2342905","2228208","739781","64349","33.2","2.8"
"27","Kansas","2140957","2058519","736493","56763","35.8","2.7"
"27","Kentucky","3344102","3206814","1086115","117576","33.9","3.7"
"27","Louisiana","3431432","3248825","911642","115826","28.1","3.4"
"27","Maine","1065620","1011784","379681","53401","37.5","5.3"
"27","Maryland","4586920","4314527","2007232","123607","46.5","2.7"
"27","Massachusetts","5324065","5019696","2509097","144086","50","2.9"
"27","Michigan","7644458","7111235","2578675","186270","36.3","2.7"
"27","Minnesota","4241624","4091534","1879867","106605","45.9","2.6"
"27","Mississippi","2189670","2071492","406687","58185","19.6","2.8"
"27","Missouri","4617880","4338597","1492745","136183","34.4","3"
"27","Montana","822204","790409","236598","26035","29.9","3.4"
"27","Nebraska","1418191","1343912","526599","47104","39.2","3.4"
"27","Nevada","2399457","2226393","730880","68035","32.8","3"
"27","New Hampshire","1073014","1028534","469747","37533","45.7","3.6"
"27","New Jersey","6776822","6445877","3293764","191887","51.1","3"
"27","New Mexico","1589574","1508884","518691","43553","34.4","2.9"
"27","New York","14847080","13802085","6053509","451274","43.9","3.3"
"27","North Carolina","8017566","7639976","2748974","218996","36","3"
"27","North Dakota","561016","544738","179238","21460","32.9","3.9"
"27","Ohio","8822539","8321680","3287853","339700","39.5","4.1"
"27","Oklahoma","2916436","2782593","773456","80484","27.8","2.9"
"27","Oregon","3302727","3133022","1309025","87875","41.8","2.8"
"27","Pennsylvania","9776154","9201298","3424418","275995","37.2","3"
"27","Rhode Island","817559","780961","332447","37614","42.6","4.8"
"27","South Carolina","3969123","3678049","1015270","107818","27.6","2.8"
"27","South Dakota","642658","617201","196710","24411","31.9","3.9"
"27","Tennessee","5221475","4871794","1638950","163879","33.6","3.3"
"27","Texas","21356906","19776838","7697679","612611","38.9","3"
"27","Utah","2281207","2209385","1146108","68135","51.9","3"
"27","Vermont","485485","469501","187465","18796","39.9","3.9"
"27","Virginia","6472737","6165238","2812637","178023","45.6","2.9"
"27","Washington","5890357","5577502","2310805","125569","41.4","2.3"
"27","West Virginia","1379576","1304038","353743","53078","27.1","4.1"
"27","Wisconsin","4438719","4200135","1651914","140578","39.3","3.2"
"27","Wyoming","433400","406558","106865","16982","26.3","4.2"
"27","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4639589","4413679","2222300","177334","50.4","3.3"
"27","Boston-Cambridge-Newton, MA-NH Metro Area","3773193","3522456","1884045","121965","53.5","2.8"
"27","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7157117","6580840","2930012","204610","44.5","2.8"
"27","Dallas-Fort Worth-Arlington, TX Metro Area","5931104","5540838","2664587","264285","48.1","3.8"
"27","Detroit-Warren-Dearborn, MI Metro Area","3525203","3278833","1353164","147689","41.3","3.8"
"27","Houston-The Woodlands-Sugar Land, TX Metro Area","5762260","5366164","1982220","215340","36.9","3.9"
"27","Los Angeles-Long Beach-Anaheim, CA Metro Area","10845198","10329094","4330463","445576","41.9","3.7"
"27","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4856712","4488027","1475930","178806","32.9","3.2"
"27","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14022044","13222196","6246482","350119","47.2","2.7"
"27","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","4975128","4655770","2288423","188243","49.2","3.1"
"27","Phoenix-Mesa-Chandler, AZ Metro Area","3786434","3619238","1518400","126114","42","3.1"
"27","Riverside-San Bernardino-Ontario, CA Metro Area","3649386","3420243","1137608","177293","33.3","4.2"
"27","San Francisco-Oakland-Berkeley, CA Metro Area","3343143","3168892","1588393","145647","50.1","3.9"
"27","Seattle-Tacoma-Bellevue, WA Metro Area","3358246","3254089","1556231","111253","47.8","2.9"
"27","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4482601","4213792","2511007","154203","59.6","2.5"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""